v8-version,8,4,371,19,-node.17,0
code-creation,Builtin,3,3205,0x13c71e0,12,ConsoleGroup
code-creation,Builtin,3,3208,0x13c7200,12,ConsoleGroupCollapsed
code-creation,Builtin,3,3211,0x13c7220,12,ConsoleGroupEnd
code-creation,Builtin,3,3214,0x13c7240,12,ConsoleClear
code-creation,Builtin,3,3217,0x13c7260,12,ConsoleCount
code-creation,Builtin,3,3220,0x13c7280,12,ConsoleCountReset
code-creation,Builtin,3,3223,0x13c72a0,12,ConsoleAssert
code-creation,Builtin,3,3226,0x13c72c0,12,ConsoleProfile
code-creation,Builtin,3,3229,0x13c72e0,12,ConsoleProfileEnd
code-creation,Builtin,3,3233,0x13c7300,12,ConsoleTime
code-creation,Builtin,3,3236,0x13c7320,12,ConsoleTimeLog
code-creation,Builtin,3,3239,0x13c7340,12,ConsoleTimeEnd
code-creation,Builtin,3,3241,0x13c7360,12,ConsoleTimeStamp
code-creation,Builtin,3,3244,0x13c7380,12,ConsoleContext
code-creation,Builtin,3,3247,0x13c73a0,12,DataViewConstructor
code-creation,Builtin,3,3251,0x13c73c0,12,DateConstructor
code-creation,Builtin,3,3254,0x13c73e0,238,DatePrototypeGetDate
code-creation,Builtin,3,3257,0x13c74e0,238,DatePrototypeGetDay
code-creation,Builtin,3,3260,0x13c75e0,238,DatePrototypeGetFullYear
code-creation,Builtin,3,3263,0x13c76e0,238,DatePrototypeGetHours
code-creation,Builtin,3,3267,0x13c77e0,206,DatePrototypeGetMilliseconds
code-creation,Builtin,3,3270,0x13c78c0,238,DatePrototypeGetMinutes
code-creation,Builtin,3,3273,0x13c79c0,238,DatePrototypeGetMonth
code-creation,Builtin,3,3276,0x13c7ac0,238,DatePrototypeGetSeconds
code-creation,Builtin,3,3279,0x13c7bc0,142,DatePrototypeGetTime
code-creation,Builtin,3,3282,0x13c7c60,206,DatePrototypeGetTimezoneOffset
code-creation,Builtin,3,3286,0x13c7d40,206,DatePrototypeGetUTCDate
code-creation,Builtin,3,3289,0x13c7e20,206,DatePrototypeGetUTCDay
code-creation,Builtin,3,3292,0x13c7f00,206,DatePrototypeGetUTCFullYear
code-creation,Builtin,3,3296,0x13c7fe0,206,DatePrototypeGetUTCHours
code-creation,Builtin,3,3299,0x13c80c0,206,DatePrototypeGetUTCMilliseconds
code-creation,Builtin,3,3302,0x13c81a0,206,DatePrototypeGetUTCMinutes
code-creation,Builtin,3,3305,0x13c8280,206,DatePrototypeGetUTCMonth
code-creation,Builtin,3,3309,0x13c8360,206,DatePrototypeGetUTCSeconds
code-creation,Builtin,3,3312,0x13c8440,142,DatePrototypeValueOf
code-creation,Builtin,3,3315,0x13c84e0,460,DatePrototypeToPrimitive
code-creation,Builtin,3,3319,0x13c86c0,12,DatePrototypeGetYear
